# 튜토리얼 안내 대사.,,,,
#,,,,
#  [열 설명],,,,
#  · id      : 대화 묶음 ID. DialogueTrigger의 Dialogue Id와 정확히 같아야 한다.,,,,
#  · cast    : 화면에 세울 캐릭터 목록. 여러 명은 | 로 구분한다. 비우면 이전 줄 구성을 유지한다.,,,,
#              문법은 캐릭터키/표정@자리 (예: player@왼쪽|bonemaster/angry@오른쪽).,,,,
#  · speaker : 현재 말하는 캐릭터의 키. 이름 자체가 아니며, 해당 캐릭터가 밝고 크게 표시된다.,,,
#  · name    : 이번 줄의 이름표를 강제로 덮어쓸 때만 적는다. 비우면 DialogueCast.asset의 이름을 쓴다.,,,,
#  · text_ko : 실제 한국어 대사.,,,,
#,,,,
#  [예시],,,,
#  Tutorial_01,player@왼쪽|bonemaster/angry@오른쪽,bonemaster,,네가 여기까지 올 줄은 몰랐군.
#  Tutorial_01,,player,주인공,이제 끝내주지.
#,,,,
#  · id 는 방 프리팹 이름과 똑같이 맞춘다(Tutorial_01 … Tutorial_07).,,,,
#    방에 붙은 DialogueTrigger가 입장할 때 이 id로 대사를 찾는다 — 여기 없는 id는 조용히 지나간다.,,,,
#  · 같은 id 의 행이 여러 개면 순서대로 이어지는 한 대화다. 줄을 늘리려면 같은 id 로 행을 더 쓰면 된다.,,,,
#  · 지금은 전부 나레이션이다(cast/speaker/name 을 다 비웠다). 초상화가 아직 한 장도 없어서,,,,
#    화자를 세우면 이름칸만 뜨고 그림은 안 나온다. 초상화를 넣고 나서 speaker 를 채우면 된다.,,,,
"#  · 쉼표가 든 대사는 칸 전체를 ""큰따옴표""로 감쌀 것. 반드시 UTF-8 로 저장(엑셀은 ""CSV UTF-8"").",,,,
#  · 고친 뒤에는 Tools/Dialogue/2. 대사 테이블 검증 을 눌러야 반영된다(파싱 결과를 캐시한다).,,,,
id,cast,speaker,name,text_ko
Tutorial_01,,,,기본 조작키를 익히기 위한 튜토리얼 입니다.
Tutorial_01,,,,"WASD를 이용해 기본 이동이 가능하며,"
Tutorial_01,,,,"방 클리어시 <color=#8ACFFF>파란색 점</color>이 있는 곳으로 이동하여, 다음 방으로 이동하세요."
Tutorial_02,,,,전투 조작을 익히기 위한 방입니다.
Tutorial_02,,,,"마우스 왼쪽 클릭으로 기본 공격이 가능하며,"
Tutorial_02,,,,오른쪽 클릭을 타이밍에 맞게 누르면 원거리 공격을 튕겨낼 수 있습니다.
Tutorial_02,,,,"LShift 키를 이용해서 대쉬를 할 수 있고,"
Tutorial_02,,,,Tab을 눌러 지나온 방을 클릭하면 해당 방으로 이동할 수 있습니다.
Tutorial_03,,,,"기본 상호작용 키는 F키 이며,"
Tutorial_03,,,,보상 선택 대신 하단 UI를 클릭해 회복할 수 있습니다.
Tutorial_03,,,,주변에 적이 있을 경우 R키로 획득한 영혼의 스킬을 사용할 수 있습니다.
Tutorial_03,,,,C키로 영혼의 능력을 확인할 수 있습니다.
Tutorial_04,,,,"대쉬를 통해 지형을 건널 수 있으며,"
Tutorial_04,,,,영혼을 가지고 있을 경우 대쉬 공격이 활성화 됩니다.
Tutorial_05,,,,상점방입니다!
Tutorial_05,,,,"가지고 있는 골드를 이용하여, 아이템&장비를 구매하거나 강화할 수 있는 방입니다."
Tutorial_05,,,,원하는 물품에 다가가 F키를 누르면 구매가 됩니다.
Tutorial_06,,,,시련방입니다.
Tutorial_06,,,,시련방에서는 선택한 리스크에 비례하는 보상을 획득 할 수 있습니다.
Tutorial_07,,,,이것으로 튜토리얼을 마칩니다.
